1.548	10.00	9.916	0.93
1.559	10.00	9.907	1.03
1.569	10.00	9.897	1.13
1.579	10.00	9.887	1.23
1.589	10.00	9.877	1.33
1.599	10.00	9.867	1.43
1.609	10.00	9.857	1.53
1.619	10.00	9.847	1.63
1.629	10.00	9.837	1.72
1.639	10.00	9.828	1.82
1.650	10.00	9.818	1.92
1.660	10.00	9.808	2.02
1.670	10.00	9.798	2.12
1.680	10.00	9.788	2.21
1.690	10.00	9.779	2.31
1.700	10.00	9.769	2.41
1.710	10.00	9.759	2.51
1.720	10.00	9.749	2.61
1.731	10.00	9.739	2.70
1.741	10.00	9.730	2.80
1.751	10.00	9.720	2.90
1.761	10.00	9.710	2.99
1.771	10.00	9.701	3.09
1.781	10.00	9.691	3.19
1.791	10.00	9.681	3.28
1.801	10.00	9.672	3.38
1.812	10.00	9.662	3.48
1.822	10.00	9.652	3.57
1.832	10.00	9.643	3.67
1.842	10.00	9.633	3.77
1.852	10.00	9.623	3.86
1.862	10.00	9.614	3.96
1.872	10.00	9.604	4.06
1.882	10.00	9.594	4.15
1.892	10.00	9.585	4.25
1.903	10.00	9.575	4.34
1.913	10.00	9.566	4.44
1.923	10.00	9.556	4.53
1.933	10.00	9.547	4.63
1.943	10.00	9.537	4.73
1.953	10.00	9.527	4.82
1.963	10.00	9.518	4.92
1.973	10.00	9.508	5.01
1.984	10.00	9.499	5.11
1.994	10.00	9.489	5.20
2.004	-3.00	-3.520	5.17
2.014	-3.00	-3.517	5.13
2.024	-3.00	-3.513	5.10
2.034	-3.00	-3.510	5.06
2.044	-3.00	-3.506	5.03
2.054	-3.00	-3.503	4.99
2.064	-3.00	-3.499	4.96
2.075	-3.00	-3.496	4.92
2.085	-3.00	-3.492	4.89
2.095	-3.00	-3.489	4.85
2.105	-3.00	-3.485	4.82
2.115	-3.00	-3.482	4.78
2.125	-3.00	-3.478	4.75
2.135	-3.00	-3.475	4.71
2.145	-3.00	-3.471	4.68
2.156	-3.00	-3.468	4.64
2.166	-3.00	-3.464	4.61
2.176	-3.00	-3.461	4.57
2.186	-3.00	-3.457	4.54
2.196	-3.00	-3.454	4.50
2.206	-3.00	-3.450	4.47
2.216	-3.00	-3.447	4.43
2.226	-3.00	-3.443	4.40
2.236	-3.00	-3.440	4.37
2.247	-3.00	-3.437	4.33
2.257	-3.00	-3.433	4.30
2.267	-3.00	-3.430	4.26
2.277	-3.00	-3.426	4.23
2.287	-3.00	-3.423	4.19
2.297	-3.00	-3.419	4.16
