 0.00000000e+00 0.00000000e+00
 1.99800135e+00 1.99800128e+00
 4.98752139e+00 4.98751960e+00
 9.45502513e+00 9.45500572e+00
 1.61187455e+01 1.61185953e+01
 2.60306610e+01 2.60296836e+01
 4.07133206e+01 4.07075718e+01
 6.23325803e+01 6.23008940e+01
 9.38995118e+01 9.37327876e+01
 1.39510625e+02 1.38666333e+02
 2.04828596e+02 2.00712217e+02
 2.98963078e+02 2.79790950e+02
 4.41406035e+02 3.57945225e+02
 6.16140490e+02 3.66961071e+02
 7.81252264e+02 2.71689866e+02
 8.87495364e+02 9.34107258e+01
 9.05132379e+02 -9.59641389e+01
 8.62188867e+02 -2.20405152e+02
 8.12085482e+02 -2.56098226e+02
 7.88496326e+02 -2.18968431e+02
 7.87916261e+02 -1.88004499e+02
